frame,time_sec,player_id,team,player_x_px,player_y_px,speed_px_s,ball_x_px,ball_y_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,team_confidence
0,0.0,P01,TEAM_A,326.5,150,0,,,315,113,338,150,0.893,0.858
0,0.0,P02,TEAM_B,900.5,247,0,,,881,209,920,247,0.882,0.709
0,0.0,P03,TEAM_A,721.5,167,0,,,707,127,736,167,0.88,1.0
0,0.0,P04,TEAM_B,813.0,141,0,,,801,106,825,141,0.87,0.862
0,0.0,P05,TEAM_A,728.5,105,0,,,719,69,738,105,0.854,1.0
0,0.0,P06,TEAM_A,940.0,237,0,,,925,206,955,237,0.839,0.857
0,0.0,P07,TEAM_B,958.0,245,0,,,947,209,969,245,0.809,0.562
0,0.0,P08,TEAM_A,1012.0,242,0,,,999,212,1025,242,0.596,0.72
1,0.04,P01,TEAM_A,326.5,150,0.0,,,315,113,338,150,0.893,0.858
1,0.04,P02,TEAM_B,900.5,247,0.0,,,881,209,920,247,0.882,0.709
1,0.04,P03,TEAM_A,721.5,167,0.0,,,707,127,736,167,0.88,1.0
1,0.04,P04,TEAM_B,813.0,141,0.0,,,801,106,825,141,0.87,0.862
1,0.04,P05,TEAM_A,728.5,105,0.0,,,719,69,738,105,0.854,1.0
1,0.04,P06,TEAM_A,940.0,237,0.0,,,925,206,955,237,0.839,0.857
1,0.04,P07,TEAM_B,958.0,245,0.0,,,947,209,969,245,0.809,0.562
1,0.04,P08,TEAM_A,1012.0,242,0.0,,,999,212,1025,242,0.596,0.72
2,0.08,P01,TEAM_A,326.5,150,0.0,,,315,113,338,150,0.893,0.858
2,0.08,P02,TEAM_B,900.5,247,0.0,,,881,209,920,247,0.882,0.709
2,0.08,P03,TEAM_A,721.5,167,0.0,,,707,127,736,167,0.88,1.0
2,0.08,P04,TEAM_B,813.0,141,0.0,,,801,106,825,141,0.87,0.862
2,0.08,P05,TEAM_A,728.5,105,0.0,,,719,69,738,105,0.854,1.0
2,0.08,P06,TEAM_A,940.0,237,0.0,,,925,206,955,237,0.839,0.857
2,0.08,P07,TEAM_B,958.0,245,0.0,,,947,209,969,245,0.809,0.562
2,0.08,P08,TEAM_A,1012.0,242,0.0,,,999,212,1025,242,0.596,0.72
3,0.12,P01,TEAM_A,326.5,150,0.0,,,315,113,338,150,0.893,0.858
3,0.12,P02,TEAM_B,910.5,247,250.0,,,895,211,926,247,0.885,0.852
3,0.12,P05,TEAM_A,730.0,102,83.85,,,720,66,740,102,0.883,1.0
3,0.12,P03,TEAM_A,731.0,181,422.97,,,715,133,747,181,0.871,1.0
3,0.12,P04,TEAM_B,817.0,141,100.0,,,803,108,831,141,0.863,0.863
3,0.12,P07,TEAM_A,959.0,246,35.36,,,946,209,972,246,0.81,0.578
3,0.12,P06,TEAM_A,946.5,243,221.15,,,931,207,962,243,0.803,1.0
3,0.12,P08,TEAM_A,1013.5,242,37.5,,,1001,213,1026,242,0.714,0.721
3,0.12,P09,TEAM_A,954.0,245,0,,,938,208,970,245,0.39,0.864
4,0.16,P01,TEAM_A,326.5,150,0.0,,,315,113,338,150,0.893,0.858
4,0.16,P02,TEAM_B,910.5,247,0.0,,,895,211,926,247,0.885,0.852
4,0.16,P05,TEAM_A,730.0,102,0.0,,,720,66,740,102,0.883,1.0
4,0.16,P03,TEAM_A,731.0,181,0.0,,,715,133,747,181,0.871,1.0
4,0.16,P04,TEAM_B,817.0,141,0.0,,,803,108,831,141,0.863,0.863
4,0.16,P07,TEAM_A,959.0,246,0.0,,,946,209,972,246,0.81,0.578
4,0.16,P06,TEAM_A,946.5,243,0.0,,,931,207,962,243,0.803,1.0
4,0.16,P08,TEAM_A,1013.5,242,0.0,,,1001,213,1026,242,0.714,0.721
4,0.16,P09,TEAM_A,954.0,245,0.0,,,938,208,970,245,0.39,0.864
5,0.2,P01,TEAM_A,326.5,150,0.0,,,315,113,338,150,0.893,0.858
5,0.2,P02,TEAM_B,910.5,247,0.0,,,895,211,926,247,0.885,0.852
5,0.2,P05,TEAM_A,730.0,102,0.0,,,720,66,740,102,0.883,1.0
5,0.2,P03,TEAM_A,731.0,181,0.0,,,715,133,747,181,0.871,1.0
5,0.2,P04,TEAM_B,817.0,141,0.0,,,803,108,831,141,0.863,0.863
5,0.2,P07,TEAM_A,959.0,246,0.0,,,946,209,972,246,0.81,0.578
5,0.2,P06,TEAM_A,946.5,243,0.0,,,931,207,962,243,0.803,1.0
5,0.2,P08,TEAM_A,1013.5,242,0.0,,,1001,213,1026,242,0.714,0.721
5,0.2,P09,TEAM_A,954.0,245,0.0,,,938,208,970,245,0.39,0.864
6,0.24,P01,TEAM_A,327.0,150,12.5,,,316,112,338,150,0.894,0.859
6,0.24,P02,TEAM_B,915.0,250,135.21,,,900,214,930,250,0.884,0.719
6,0.24,P05,TEAM_A,731.0,100,55.9,,,721,66,741,100,0.876,1.0
6,0.24,P03,TEAM_A,741.5,184,273.0,,,727,140,756,184,0.868,0.862
6,0.24,P04,TEAM_B,822.5,142,139.75,,,811,107,834,142,0.859,0.856
6,0.24,P09,TEAM_A,950.5,244,91.0,,,934,210,967,244,0.811,0.867
6,0.24,P08,TEAM_A,1014.0,241,27.95,,,1002,213,1026,241,0.772,0.72
6,0.24,P07,TEAM_A,958.0,246,25.0,,,942,212,974,246,0.695,1.0
7,0.28,P01,TEAM_A,327.0,150,0.0,,,316,112,338,150,0.894,0.859
7,0.28,P02,TEAM_B,915.0,250,0.0,,,900,214,930,250,0.884,0.719
7,0.28,P05,TEAM_A,731.0,100,0.0,,,721,66,741,100,0.876,1.0
7,0.28,P03,TEAM_A,741.5,184,0.0,,,727,140,756,184,0.868,0.862
7,0.28,P04,TEAM_B,822.5,142,0.0,,,811,107,834,142,0.859,0.856
7,0.28,P09,TEAM_A,950.5,244,0.0,,,934,210,967,244,0.811,0.867
7,0.28,P08,TEAM_A,1014.0,241,0.0,,,1002,213,1026,241,0.772,0.72
7,0.28,P07,TEAM_A,958.0,246,0.0,,,942,212,974,246,0.695,1.0
8,0.32,P01,TEAM_A,327.0,150,0.0,,,316,112,338,150,0.894,0.859
8,0.32,P02,TEAM_B,915.0,250,0.0,,,900,214,930,250,0.884,0.719
8,0.32,P05,TEAM_A,731.0,100,0.0,,,721,66,741,100,0.876,1.0
8,0.32,P03,TEAM_A,741.5,184,0.0,,,727,140,756,184,0.868,0.862
8,0.32,P04,TEAM_B,822.5,142,0.0,,,811,107,834,142,0.859,0.856
8,0.32,P09,TEAM_A,950.5,244,0.0,,,934,210,967,244,0.811,0.867
8,0.32,P08,TEAM_A,1014.0,241,0.0,,,1002,213,1026,241,0.772,0.72
8,0.32,P07,TEAM_A,958.0,246,0.0,,,942,212,974,246,0.695,1.0
9,0.36,P01,TEAM_A,327.0,150,0.0,,,316,112,338,150,0.892,0.577
9,0.36,P02,TEAM_B,919.0,257,201.56,,,902,220,936,257,0.881,0.851
9,0.36,P04,TEAM_B,827.5,144,134.63,,,816,107,839,144,0.871,0.861
9,0.36,P03,TEAM_A,750.5,190,270.42,,,732,145,769,190,0.863,1.0
9,0.36,P05,TEAM_A,731.0,99,25.0,,,720,68,742,99,0.85,0.742
9,0.36,P07,TEAM_A,955.0,247,79.06,,,938,213,972,247,0.802,1.0
9,0.36,P08,TEAM_A,1014.0,241,0.0,,,1002,213,1026,241,0.782,0.719
9,0.36,P09,TEAM_A,966.5,248,412.31,,,952,215,981,248,0.73,1.0
10,0.4,P01,TEAM_A,327.0,150,0.0,,,316,112,338,150,0.892,0.577
10,0.4,P02,TEAM_B,919.0,257,0.0,,,902,220,936,257,0.881,0.851
10,0.4,P04,TEAM_B,827.5,144,0.0,,,816,107,839,144,0.871,0.861
10,0.4,P03,TEAM_A,750.5,190,0.0,,,732,145,769,190,0.863,1.0
10,0.4,P05,TEAM_A,731.0,99,0.0,,,720,68,742,99,0.85,0.742
10,0.4,P07,TEAM_A,955.0,247,0.0,,,938,213,972,247,0.802,1.0
10,0.4,P08,TEAM_A,1014.0,241,0.0,,,1002,213,1026,241,0.782,0.719
10,0.4,P09,TEAM_A,966.5,248,0.0,,,952,215,981,248,0.73,1.0
11,0.44,P01,TEAM_A,327.0,150,0.0,,,316,112,338,150,0.892,0.577
11,0.44,P02,TEAM_B,919.0,257,0.0,,,902,220,936,257,0.881,0.851
11,0.44,P04,TEAM_B,827.5,144,0.0,,,816,107,839,144,0.871,0.861
11,0.44,P03,TEAM_A,750.5,190,0.0,,,732,145,769,190,0.863,1.0
11,0.44,P05,TEAM_A,731.0,99,0.0,,,720,68,742,99,0.85,0.742
11,0.44,P07,TEAM_A,955.0,247,0.0,,,938,213,972,247,0.802,1.0
11,0.44,P08,TEAM_A,1014.0,241,0.0,,,1002,213,1026,241,0.782,0.719
11,0.44,P09,TEAM_A,966.5,248,0.0,,,952,215,981,248,0.73,1.0
12,0.48,P01,TEAM_A,328.0,150,25.0,,,317,111,339,150,0.892,0.858
12,0.48,P02,TEAM_B,927.0,260,213.6,,,910,224,944,260,0.877,0.712
12,0.48,P03,TEAM_A,765.0,198,414.01,,,749,151,781,198,0.873,1.0
12,0.48,P05,TEAM_A,733.5,98,67.31,,,722,67,745,98,0.85,0.871
12,0.48,P04,TEAM_B,831.5,145,103.08,,,821,110,842,145,0.817,0.857
12,0.48,P08,TEAM_A,1014.0,242,25.0,,,1002,213,1026,242,0.759,0.719
12,0.48,P09,TEAM_A,964.0,248,62.5,,,947,217,981,248,0.749,1.0
12,0.48,P07,TEAM_A,969.5,249,365.93,,,954,218,985,249,0.733,1.0
13,0.52,P01,TEAM_A,328.0,150,0.0,,,317,111,339,150,0.892,0.858
13,0.52,P02,TEAM_B,927.0,260,0.0,,,910,224,944,260,0.877,0.712
13,0.52,P03,TEAM_A,765.0,198,0.0,,,749,151,781,198,0.873,1.0
13,0.52,P05,TEAM_A,733.5,98,0.0,,,722,67,745,98,0.85,0.871
13,0.52,P04,TEAM_B,831.5,145,0.0,,,821,110,842,145,0.817,0.857
13,0.52,P08,TEAM_A,1014.0,242,0.0,,,1002,213,1026,242,0.759,0.719
13,0.52,P09,TEAM_A,964.0,248,0.0,,,947,217,981,248,0.749,1.0
13,0.52,P07,TEAM_A,969.5,249,0.0,,,954,218,985,249,0.733,1.0
14,0.56,P01,TEAM_A,328.0,150,0.0,,,317,111,339,150,0.892,0.858
14,0.56,P02,TEAM_B,927.0,260,0.0,,,910,224,944,260,0.877,0.712
14,0.56,P03,TEAM_A,765.0,198,0.0,,,749,151,781,198,0.873,1.0
14,0.56,P05,TEAM_A,733.5,98,0.0,,,722,67,745,98,0.85,0.871
14,0.56,P04,TEAM_B,831.5,145,0.0,,,821,110,842,145,0.817,0.857
14,0.56,P08,TEAM_A,1014.0,242,0.0,,,1002,213,1026,242,0.759,0.719
14,0.56,P09,TEAM_A,964.0,248,0.0,,,947,217,981,248,0.749,1.0
14,0.56,P07,TEAM_A,969.5,249,0.0,,,954,218,985,249,0.733,1.0
15,0.6,P01,TEAM_A,328.5,150,12.5,,,318,111,339,150,0.892,0.858
15,0.6,P03,TEAM_A,775.5,202,280.9,,,760,155,791,202,0.879,1.0
15,0.6,P02,TEAM_B,934.0,262,182.0,,,919,226,949,262,0.854,0.709
15,0.6,P04,TEAM_B,834.5,144,79.06,,,823,111,846,144,0.845,0.867
15,0.6,P05,TEAM_A,739.0,98,137.5,,,729,67,749,98,0.826,0.734
15,0.6,P07,TEAM_A,968.0,252,83.85,,,950,217,986,252,0.778,0.869
15,0.6,P08,TEAM_A,1014.5,244,51.54,,,1003,213,1026,244,0.762,0.719
16,0.64,P01,TEAM_A,328.5,150,0.0,,,318,111,339,150,0.892,0.858
16,0.64,P03,TEAM_A,775.5,202,0.0,,,760,155,791,202,0.879,1.0
16,0.64,P02,TEAM_B,934.0,262,0.0,,,919,226,949,262,0.854,0.709
16,0.64,P04,TEAM_B,834.5,144,0.0,,,823,111,846,144,0.845,0.867
16,0.64,P05,TEAM_A,739.0,98,0.0,,,729,67,749,98,0.826,0.734
16,0.64,P07,TEAM_A,968.0,252,0.0,,,950,217,986,252,0.778,0.869
16,0.64,P08,TEAM_A,1014.5,244,0.0,,,1003,213,1026,244,0.762,0.719
17,0.68,P01,TEAM_A,328.5,150,0.0,,,318,111,339,150,0.892,0.858
17,0.68,P03,TEAM_A,775.5,202,0.0,,,760,155,791,202,0.879,1.0
17,0.68,P02,TEAM_B,934.0,262,0.0,,,919,226,949,262,0.854,0.709
17,0.68,P04,TEAM_B,834.5,144,0.0,,,823,111,846,144,0.845,0.867
17,0.68,P05,TEAM_A,739.0,98,0.0,,,729,67,749,98,0.826,0.734
17,0.68,P07,TEAM_A,968.0,252,0.0,,,950,217,986,252,0.778,0.869
17,0.68,P08,TEAM_A,1014.5,244,0.0,,,1003,213,1026,244,0.762,0.719
18,0.72,P01,TEAM_A,328.5,150,0.0,,,318,110,339,150,0.891,0.858
18,0.72,P02,TEAM_B,938.5,269,208.04,,,922,231,955,269,0.886,0.723
18,0.72,P03,TEAM_A,789.0,209,380.17,,,772,160,806,209,0.873,1.0
18,0.72,P04,TEAM_B,840.5,145,152.07,,,828,113,853,145,0.825,0.861
18,0.72,P07,TEAM_A,972.5,254,123.11,,,956,219,989,254,0.798,1.0
18,0.72,P05,TEAM_A,743.5,99,115.24,,,733,68,754,99,0.793,0.871
18,0.72,P08,TEAM_A,1015.5,244,25.0,,,1004,214,1027,244,0.782,0.719
19,0.76,P01,TEAM_A,328.5,150,0.0,,,318,110,339,150,0.891,0.858
19,0.76,P02,TEAM_B,938.5,269,0.0,,,922,231,955,269,0.886,0.723
